instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,zeta_box,θ_bb,θ_box,θ_pb,n,m,pc,k
18,20395,32,1,3600.069,3600.077,10.348,13.75,1.0e20,1.1251293939841175e7,3.2835757780675057e7,4,15,0.1,5
19,21614,32,1,3600.255,3600.048,10.753,11.0,1.0e20,7.428004388592435e6,1.98795816813451e7,4,15,0.1,5
1,19093,34,1,3600.189,3600.044,11.0,11.444444444444445,1.0e20,9.224372870607954e6,2.4409793810916632e7,4,15,0.1,5
20,20827,29,1,3600.066,3600.026,12.187,14.000000000000002,1.0e20,1.1263088024567729e7,3.1348776007204413e7,4,15,0.1,5
21,20038,37,1,3600.032,3600.05,10.647,12.5,1.0e20,1.138481086106956e7,3.0900317830647126e7,4,15,0.1,5
22,20378,30,1,3600.105,3600.031,10.215,11.25,1.0e20,9.885070354702722e6,2.8066699103712533e7,4,15,0.1,5
23,20678,32,1,3600.08,3600.059,11.333,12.0,1.0e20,1.0395375423139371e7,3.0011319913532346e7,4,15,0.1,5
24,22238,29,1,3600.22,3600.057,11.09,11.000000000000002,1.0e20,6.336637483718494e6,1.7319269569752034e7,4,15,0.1,5
25,18642,32,1,3600.017,3600.045,10.505,13.42857142857143,1.0e20,1.2687719713352384e7,3.705442237288461e7,4,15,0.1,5
26,22228,32,1,3600.194,3600.056,11.439,13.999999999999998,1.0e20,1.1269499980444217e7,3.330554630974638e7,4,15,0.1,5
27,20648,32,1,3600.204,3600.073,10.166,13.600000000000001,1.0e20,9.058413032525018e6,2.6289003736442175e7,4,15,0.1,5
28,18510,34,1,3600.072,3600.068,11.407,12.875,1.0e20,8.375129715575381e6,2.5745027317760058e7,4,15,0.1,5
29,19218,25,1,3600.189,3600.06,10.798,14.125,1.0e20,9.820669528248897e6,3.0215748647092707e7,4,15,0.1,5
2,21715,33,1,3600.167,3600.041,10.157,9.099999999999957,1.0e20,6.3527879147093715e6,1.653400754527122e7,4,15,0.1,5
30,21707,32,1,3600.117,3600.068,9.945,8.5,1.8856032006306004e7,7.565564801964275e6,1.8856032006306e7,4,15,0.1,5
31,22103,30,1,3600.189,3600.05,8.871,11.88888888888889,1.0e20,9.765165381144928e6,2.764816119344063e7,4,15,0.1,5
32,22865,31,1,3600.194,3600.044,9.035,11.75,1.0e20,8.11943488020133e6,2.340764645869537e7,4,15,0.1,5
33,23373,40,1,3600.108,3600.062,9.019,10.428571428571429,1.0e20,1.0477896006845767e7,2.878150150650062e7,4,15,0.1,5
34,24436,35,1,3600.193,3600.066,8.914,7.0,1.0e20,5.904272161951788e6,1.5047933805035273e7,4,15,0.1,5
35,21612,33,1,3600.154,3600.033,8.913,12.923076923076922,1.0e20,1.2465762067219164e7,3.191136101062399e7,4,15,0.1,5
36,25165,34,1,3600.001,3600.062,9.052,7.625000623563409,1.3498747243935864e7,7.153739383027654e6,1.64982152243221e7,4,15,0.1,5
37,24282,36,1,3600.028,3600.042,9.126,11.375,1.0e20,8.45275690971883e6,2.3777136852275256e7,4,15,0.1,5
38,25108,33,1,3600.096,3600.025,8.991,13.444444444444438,1.0e20,8.508675432525104e6,2.5188591276747555e7,4,15,0.1,5
39,23609,40,1,3600.066,3600.048,9.124,10.0,2.073595127362171e7,8.478280788008401e6,2.0735951273621704e7,4,15,0.1,5
3,22260,31,1,3600.112,3600.024,10.288,13.375,1.0e20,1.0082611039749898e7,2.9746123918588936e7,4,15,0.1,5
40,21442,37,1,3600.061,3600.107,14.318,8.5,1.2938621968641743e7,6.054280005246791e6,1.2938621968641749e7,4,15,0.1,5
41,21232,34,1,3600.028,3600.055,10.256,12.0,2.7252823941388324e7,1.0707184703504948e7,2.725282394138832e7,4,15,0.1,5
42,21125,35,1,3600.254,3600.121,10.246,11.555555555555555,1.0e20,9.047092464202587e6,2.4485593232169252e7,4,15,0.1,5
43,21506,35,1,3600.165,3600.041,10.355,13.0,1.0e20,9.926750512459636e6,2.953875795763614e7,4,15,0.1,5
44,21285,35,1,3600.171,3600.044,10.553,11.3,1.9924065573182486e7,8.311818811947597e6,1.9924065573182486e7,4,15,0.1,5
45,22686,38,1,3600.011,3600.044,12.605,10.166666666666666,1.0e20,7.145948857565209e6,1.9779804941836603e7,4,15,0.1,5
46,21948,38,1,3600.11,3600.076,10.363,9.875,1.0e20,6.744737505337619e6,1.7702161654970456e7,4,15,0.1,5
