instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,zeta_box,θ_bb,θ_box,θ_pb,n,m,pc,k,obs_pb,obs_bb,obs_box
28,26019,47,1,3600.178,3600.039,10.392,12.166666666666668,1.0e20,1.2908128858796775e7,3.1216015895240836e7,6,15,0.1,4,8.693296965240479e6,7.147989400630951e6,8.56334645549202e6
29,25263,46,1,3600.119,3600.042,9.432,9.999999999999986,1.0e20,1.35333587961774e7,2.7836254361370802e7,6,15,0.1,4,1.1002777447795868e7,8.145344411062241e6,8.859617624721527e6
2,23083,50,1,3600.194,3600.043,10.142,12.625,1.0e20,1.4451389429540403e7,3.444086816692805e7,6,15,0.1,4,1.0116008372888565e7,8.1518601362018585e6,7.421426768295288e6
30,25851,46,1,3600.046,3600.045,9.197,11.0,1.0e20,1.494817473336033e7,3.3188233158423387e7,6,15,0.1,4,1.026116956537056e7,7.747496873106003e6,9.016583832162857e6
31,20171,46,1,3600.099,3600.064,9.076,10.272727272727273,1.0e20,1.3667383176689541e7,2.9316757006741874e7,6,15,0.1,4,9.368947452806473e6,8.047154508981705e6,6.8388518104400635e6
32,23704,38,1,3600.218,3600.063,10.525,9.333333333333334,1.821316763919606e7,1.0999900093915047e7,1.8213167639196064e7,6,15,0.1,4,1.0762901536561966e7,1.076149548157692e7,7.199257159145355e6
33,23976,50,1,3600.143,3600.065,9.307,7.428571428571427,2.0804711184822645e7,9.861826573678479e6,2.080471118482265e7,6,15,0.1,4,6.735005111135483e6,6.734218291679382e6,5.750199797815323e6
34,26349,42,1,3600.139,3600.031,8.886,11.399999999999999,1.0e20,1.3720636147174975e7,3.159450131934908e7,6,15,0.1,4,9.063242943489075e6,7.1774830739479065e6,7.857151288702011e6
35,20700,44,1,3600.216,3600.06,13.2,11.25,1.0e20,9.501065400327075e6,2.0342804512396026e7,6,15,0.1,4,7.489014215362549e6,5.613715875356674e6,6.170591779851913e6
36,26256,49,1,3600.016,3600.051,8.896,10.727272728445456,1.9126304783202097e7,1.0732422149159785e7,1.9126304783202093e7,6,15,0.1,4,8.60711802756691e6,8.606607345521927e6,6.336692333763123e6
37,20964,41,1,3600.054,3600.046,9.689,12.399999999999999,1.0e20,1.53974586544329e7,3.713298633774028e7,6,15,0.1,4,1.0868782866090775e7,9.428772256694794e6,8.908568949666977e6
38,21110,45,1,3600.012,3600.08,10.185,15.166666666666668,1.0e20,1.6979651016259477e7,4.286844652230331e7,6,15,0.1,4,1.1560300617444992e7,8.976322769586563e6,9.431530137405396e6
39,25659,55,1,3600.158,3600.046,9.008,9.749999999999996,1.0e20,1.3385936623370461e7,3.0760184424443565e7,6,15,0.1,4,1.055409534219551e7,7.536887049108505e6,7.723979240808487e6
3,25793,43,1,3600.068,3600.043,9.09,10.0,1.0e20,1.1970408025423111e7,2.5073526950598143e7,6,15,0.1,4,7.812614286428452e6,6.470203791240692e6,6.428807050462723e6
