instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,zeta_box,θ_bb,θ_box,θ_pb,n,m,pc,k,obs_pb,obs_bb,obs_box
40,17,16,1,0.59,2.676,10.731,0.7999999999999972,3.702973893170463e7,3.702973893170463e7,3.7029738931704625e7,4,20,0.1,1,1.202459046183568e7,1.202459046183568e7,1.202459046183568e7
50,16,14,1,0.458,2.193,9.617,0.2500000000000129,3.2387721899424117e7,3.2387721899424117e7,3.2387721899424113e7,4,20,0.1,1,1.242009049256048e7,1.242009049256048e7,1.242009049256048e7
10,10,8,1,0.384,2.428,10.536,0.6923076923076863,2.5268114827893928e7,2.5268114827893928e7,2.5268114827893924e7,4,20,0.3,1,2.1132092576675415e7,2.1132092576675415e7,2.1132092576675415e7
20,6,4,1,0.306,2.231,9.948,2.0,1.3727041256243274e7,1.3727041256243274e7,1.372704125624327e7,4,20,0.3,1,1.3727041256238759e7,1.3727041256238759e7,1.3727041256238759e7
30,9,7,1,0.32,2.096,9.511,1.0,2.3169335314629816e7,2.3169335314629816e7,2.3169157259002537e7,4,20,0.3,1,2.3116812252004623e7,2.316933531463153e7,2.316933531463153e7
40,7,3,1,0.277,1.956,9.116,8.0,1.940739354789737e7,1.940739354789737e7,1.9407393547897365e7,4,20,0.3,1,1.694569481735552e7,1.694569481735552e7,1.694569481735552e7
50,3,3,1,0.298,2.292,10.505,8.0,2.197090714069855e6,2.197090714069855e6,2.197090714069855e6,4,20,0.3,1,2.1970907140677907e6,2.1970907140677907e6,2.1970907140677907e6
10,11,10,1,0.323,2.209,9.913,1.0,2.3286741316262413e7,2.3286741316262413e7,2.3286741316262413e7,6,10,0.1,1,7.678495290523529e6,7.678495290523529e6,7.678495290523529e6
20,10,9,1,0.375,2.797,12.346,2.0,2.1227935307043895e7,2.1227935307043895e7,2.1227935307043895e7,6,10,0.1,1,6.029545359422684e6,6.029545359422684e6,6.029545359422684e6
30,11,10,1,0.279,1.98,8.82,1.0,1.9968585281847328e7,1.9968585281847328e7,1.9968585281847328e7,6,10,0.1,1,6.467459699142456e6,6.467459699142456e6,6.467459699142456e6
40,11,10,1,0.299,2.311,9.991,1.5,1.808635961296585e7,1.808635961296585e7,1.8086359612965845e7,6,10,0.1,1,4.206259901508439e6,4.206259901508439e6,4.206259901508439e6
