instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,zeta_box,θ_bb,θ_box,θ_pb
27,36919,185,1,3600.001,3600.027,9.31,0.5,2.628900373644217e7,2.25336152949908e7,2.6289003736442175e7
28,37945,157,1,3600.002,3600.026,9.735,0.5714285715857272,2.419591050985285e7,2.1505936613375448e7,2.5745027317760058e7
29,37423,154,1,3600.125,3600.024,9.547,1.875,3.0215748647092704e7,2.6187140216931738e7,3.0215748647092707e7
2,38425,92,1,3600.007,139.308,9.88,3.0,1.6440599836809872e7,1.401199941681485e7,1.653400754527122e7
30,54409,103,1,3600.034,127.464,9.848,0.2857142857142858,1.775981122562357e7,1.6225102132668165e7,1.8856032006306e7
31,33946,153,1,3600.068,718.654,12.506,1.500000000250001,2.7538454688155912e7,2.2930710692896232e7,2.764816119344063e7
32,38598,143,1,3600.106,788.7,9.475,0.12500000000000056,2.3302210554448914e7,1.97174186123263e7,2.340764645869537e7
33,42455,211,1,3600.029,3600.026,9.913,0.571428571428573,2.866108486252798e7,2.408512113889555e7,2.878150150650062e7
34,37224,112,1,3600.01,230.662,11.41,1.666666666933338,1.4816442984482922e7,1.3080261830340307e7,1.5047933805035273e7
35,36525,165,1,3600.12,3600.068,9.748,1.3000000000000007,3.1662057982162647e7,2.7299268354665823e7,3.191136101062399e7
36,44596,82,1,3600.009,154.255,9.737,1.3333330850104428,1.6267485945729202e7,1.4306287039236275e7,1.64982152243221e7
37,41585,159,1,3600.15,1077.978,9.714,0.24999999999999645,2.355177492115112e7,2.0058664988727003e7,2.3777136852275256e7
38,34096,116,1,3600.097,557.234,13.071,0.4285714285714285,2.4855914574774586e7,2.115858555389669e7,2.5188591276747555e7
39,44855,119,1,3600.008,172.126,9.817,0.571428571428573,2.0392271189822838e7,1.7757390547364816e7,2.0735951273621704e7
3,37565,145,1,3600.016,1888.187,9.509,1.0,2.974612391858894e7,2.526560609137298e7,2.9746123918588936e7
40,39094,73,1,888.031,35.98,9.474,2.9999929828070435,1.1751669662661405e7,1.1751669662661407e7,1.2938621968641749e7
41,41794,195,1,3600.075,2606.757,9.829,0.6666666666666696,2.700950522036587e7,2.360305242904586e7,2.725282394138832e7
42,41954,129,1,3600.001,498.39,9.328,5.601883401595842e-6,2.268108392531471e7,2.086715675155685e7,2.4485593232169252e7
43,37172,166,1,3600.099,967.803,9.973,0.25,2.9421407269797895e7,2.4458202869852923e7,2.953875795763614e7
44,61733,69,1,3600.002,21.805,9.321,0.5000000001500009,1.8330216144911423e7,1.730559865530852e7,1.9924065573182486e7
45,35258,140,1,3600.003,391.713,12.025,4.999905044655861e-6,1.9692675815584105e7,1.6033125260105228e7,1.9779804941836603e7
46,40947,119,1,3600.114,246.07,9.28,1.5999216493867152e-6,1.749143908854721e7,1.5384218823937148e7,1.7702161654970456e7
47,36248,138,1,3600.152,472.229,12.965,0.33333333333333215,2.4772022489489403e7,2.1085607719458524e7,2.5023095635492407e7
48,38054,164,1,3600.057,1919.332,12.025,0.2727272727272734,2.8440799224649448e7,2.434355234412101e7,2.8681813747033477e7
49,38748,175,1,3600.001,3600.03,9.507,0.7777777777777786,2.2330374143975005e7,2.1900962915619336e7,2.6387892003404636e7
4,37713,164,1,3600.008,3600.031,9.896,1.8333333333333357,3.025155404959948e7,2.5606788072359614e7,3.025155404959948e7
50,37526,158,1,3600.075,749.77,11.354,0.571428571428573,2.4982271560316052e7,2.280993289822279e7,2.5118043427799705e7
5,41683,133,1,3600.026,744.467,9.973,0.3750000000000033,2.3720793941027787e7,2.093024050207767e7,2.395334501068777e7
6,41593,141,1,3600.078,810.942,9.807,0.1999999999999993,2.73931222829523e7,2.4041276707556006e7,2.7509778545525823e7
7,42836,129,1,3600.101,614.864,9.209,2.571428571428573,1.76247442145064e7,1.5752272594869971e7,1.7845034406448152e7
8,40675,119,1,3600.006,312.603,10.347,0.3749999999999929,1.877706988530137e7,1.6753338176387794e7,1.8889502087094273e7
9,35440,236,1,3600.136,3600.023,9.141,1.5555555555555571,3.333718698515119e7,2.6556921503623206e7,3.3337186985151194e7
