instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,zeta_box,θ_bb,θ_box,θ_pb
30,9,8,1,0.279,2.038,9.063,0.0,3.2023025430999067e7,3.2023025430999067e7,3.2023025430999067e7
31,5,4,1,0.26,2.12,9.599,0.0,1.2400881278358176e7,1.2400881278358176e7,1.2400881278358178e7
32,6,5,1,0.302,2.396,10.546,0.0,1.7334275736509364e7,1.7334275736509364e7,1.7334275736509368e7
33,5,4,1,0.287,2.346,10.618,0.0,1.0905000396232435e7,1.0905000396232435e7,1.0905000396232434e7
34,7,6,1,0.283,2.128,10.758,0.0,1.9151468299321286e7,1.9151468299321286e7,1.9151468299321286e7
35,10,9,1,0.262,1.942,9.824,0.0,2.3043657276484136e7,2.3043657276484136e7,2.3043657276484136e7
36,9,8,1,0.322,2.55,11.356,0.0,2.631178631745611e7,2.631178631745611e7,2.6311786317456115e7
37,7,5,1,0.293,2.353,10.374,0.0,1.7838568598450363e7,1.7838568598450363e7,1.7838568598450363e7
38,7,6,1,0.277,2.2,9.79,0.0,8.870982113607887e6,8.870982113607887e6,8.870982113607889e6
39,9,6,1,0.3,2.082,9.291,0.0,1.282667691305649e7,1.282667691305649e7,1.282667691305649e7
3,4,3,1,0.319,2.628,12.009,0.0,5.142497129270973e6,5.142497129270973e6,5.142497129270974e6
40,9,4,1,0.265,2.098,9.221,0.0,9.184062238402389e6,9.184062238402389e6,9.184062238402389e6
41,4,3,1,0.236,1.971,8.852,0.0,7.439434831866649e6,7.439434831866649e6,7.439434831866648e6
42,6,5,1,0.245,1.951,8.801,0.0,1.842238586322618e7,1.842238586322618e7,1.842238586322618e7
43,9,5,1,0.32,2.34,10.112,0.0,1.3826181691797199e7,1.3826181691797199e7,1.3826181691797199e7
44,6,5,1,0.264,2.11,11.32,0.0,7.697083449545674e6,7.697083449545674e6,7.697083449545676e6
45,6,6,1,0.244,1.952,8.844,0.0,1.6657146538666522e7,1.6657146538666522e7,1.6657146538666522e7
46,7,5,1,0.249,1.969,9.01,0.0,1.5084181670024265e7,1.5084181670024265e7,1.5084181670024266e7
47,4,3,1,0.233,1.953,8.945,0.0,2.428397445179375e6,2.428397445179375e6,2.4283974451793744e6
48,8,7,1,0.25,1.97,8.9,0.0,1.1974986740480307e7,1.1974986740480307e7,1.197498674048031e7
49,8,5,1,0.301,2.374,10.305,0.0,7.085744528288458e6,7.085744528288458e6,7.085744528288458e6
4,9,8,1,0.36,2.691,12.467,0.0,1.9863362695308223e7,1.9863362695308223e7,1.9863362695308223e7
50,6,5,1,0.317,2.55,11.57,0.0,2.2329999117770754e7,2.2329999117770754e7,2.2329999117770758e7
5,10,9,1,0.3,2.113,9.44,0.0,3.366259469408381e7,3.366259469408381e7,3.366259469408381e7
6,6,5,1,0.249,2.019,9.113,0.0,1.2136154060124941e7,1.2136154060124941e7,1.2136154060124941e7
7,8,6,1,0.259,2.017,9.065,0.0,1.7256414142797124e7,1.7256414142797124e7,1.7256414142797124e7
8,3,2,1,0.252,2.101,9.183,0.0,4.79957436887284e6,4.79957436887284e6,4.79957436887284e6
9,5,3,1,0.282,2.357,10.229,0.0,9.812448350910254e6,9.812448350910254e6,9.812448350910258e6
