instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,zeta_box,θ_bb,θ_box,θ_pb
31,4216,48,1,61.938,14.555,10.401,0.13333333333334574,2.072517954284852e7,2.0725179542848527e7,2.2596774467404395e7
32,2308,37,1,21.473,6.679,9.79,1.0,7.94086246560883e6,7.9408624656088315e6,8.051071358171998e6
33,73443,58,1,3600.085,20.125,10.383,0.45454545454546036,1.6880003000769176e7,1.5991714092605779e7,1.7895197389133327e7
34,17492,60,1,250.394,17.939,10.807,0.6363636363636331,2.017328730362115e7,2.0173287303621154e7,2.1630041572535444e7
35,36820,78,1,698.659,28.542,9.305,2.9999280221355414e-6,1.2178374566207161e7,1.2178374566207165e7,1.2997843404006224e7
36,54347,92,1,3600.001,150.54,10.473,1.3333013434979613e-6,3.375743009591058e7,3.119760514249752e7,3.583569456651814e7
37,718,27,1,6.391,6.171,9.759,1.0,9.695148604974702e6,9.695148604974704e6,9.695148604974706e6
38,46050,116,1,3600.089,175.276,11.005,4.3905602069571614e-6,2.560236488615852e7,2.3390462542762663e7,2.603801534393025e7
39,50068,103,1,3600.001,110.97,11.857,0.375,2.3418849028024595e7,2.249808746443994e7,2.4602819466844752e7
3,45454,68,1,1176.205,43.2,11.225,0.18181818181817988,1.8426105255245224e7,1.842610521693176e7,1.9834949581853136e7
40,38338,67,1,930.751,31.34,10.067,0.29999999999999716,1.3893838292562617e7,1.389383829256262e7,1.4502977028812416e7
41,25284,48,1,418.1,13.087,9.642,1.42850145579132e-6,2.0485554752617087e7,2.04855464726071e7,2.1893556390472595e7
42,10325,55,1,240.827,36.057,9.864,0.46153846153846345,1.8296100098123312e7,1.8296100098123316e7,1.937825543953453e7
43,8,8,1,0.311,2.358,9.259,6.0,3.8027453903671773e6,3.802745390367178e6,3.8027453903671782e6
45,12,11,1,0.369,2.595,9.331,4.0,5.096363451178011e6,5.096363451178011e6,5.096363451178011e6
46,11764,49,1,176.67,13.02,11.73,2.0,1.4884267883274721e7,1.4884267883274723e7,1.540458028943087e7
47,34938,91,1,498.508,31.057,9.054,4.6664379856527684e-6,1.8035969185468964e7,1.803596918546887e7,1.893760322512148e7
48,1014,11,1,8.431,2.789,10.174,2.0,9.247789669235216e6,9.247789669235216e6,9.247789669235218e6
49,88804,96,1,3600.002,68.82,12.268,0.45454545454544026,1.757299526190012e7,1.757299526190003e7,1.9117630565408e7
4,21270,39,1,494.746,11.256,11.71,0.3333333333333286,1.7659071712234046e7,1.7659071712234043e7,2.08587016796359e7
5,9478,46,1,188.906,19.14,9.678,0.571428571428573,1.3845097351752484e7,1.3845097351752426e7,1.4191191269641837e7
6,456,25,1,4.089,6.19,9.282,1.0,1.0451555190274665e7,1.0451555190274667e7,1.0451555190274669e7
7,2277,60,1,35.467,17.979,9.69,5.437145944142685e-6,9.445430283074467e6,9.44542890504031e6,1.0171679443430722e7
8,2320,34,1,24.288,7.317,9.318,1.0,1.230790726294997e7,1.230790726294997e7,1.2440228840933306e7
9,40636,114,1,3600.104,303.451,10.048,0.07692374764480273,3.800959438571619e7,3.2275037183321357e7,3.823447160839998e7
