instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,zeta_box,θ_bb,θ_box,θ_pb
29,2,1,1,0.275,2.289,10.244,0.0,4021.77783975979,4021.7778396867216,4021.7778397597904
2,3260,16,1,44.781,3.529,8.995,3.0,1.1496651643792482e7,1.1496651643792484e7,1.1496651643792486e7
30,20248,30,1,462.67,9.264,12.725,1.0,1.1924184685926683e7,1.1924184685926687e7,1.1924184685926687e7
31,19726,53,1,429.029,21.04,9.177,0.4736842105263157,2.6012577448169798e7,2.60125774481698e7,2.7939232580776565e7
32,378,28,1,4.457,4.851,9.318,1.0000903051593113,6.208836794696471e6,6.208836794696643e6,6.208836794696645e6
33,13654,43,1,268.026,13.714,12.64,0.40000000000000213,1.773611664483003e7,1.7736116644830033e7,1.813912291190012e7
34,40016,74,1,1234.797,42.097,10.138,0.29411764705882604,2.1120265298925668e7,2.1120265298925772e7,2.3258462120881546e7
35,2,1,1,0.26,2.153,9.848,0.0,3251.499774127473,3251.499774127473,3251.499774127473
36,46432,83,1,1685.907,66.673,12.944,0.4375,3.038377417092275e7,3.0383774170922752e7,3.1770472407742865e7
37,35587,148,1,3600.042,1559.987,11.428,1.1333333333333329,2.5604730151087094e7,2.4629410308603957e7,2.6336229152589098e7
38,20,7,1,0.457,2.363,9.621,2.0,1.6967352511960731e6,1.6967352511960731e6,1.6967352511960736e6
39,27224,55,1,578.941,17.556,9.338,3.5625,2.458817865847184e7,2.4588178658471845e7,2.5231684680199694e7
3,7102,23,1,94.316,5.891,9.114,1.0,1.4320327160976432e7,1.4320327160976436e7,1.4320327160976436e7
40,67212,64,1,2199.874,24.701,9.496,1.0,1.998105540964119e7,1.99810554096412e7,2.0221736797535844e7
41,8,15,1,0.39,4.159,10.953,1.0,3.973072141801375e6,3.9730721418013754e6,3.9730721418013754e6
42,46346,96,1,3600.002,334.921,12.453,0.10526315789473983,4.1414013172621116e7,3.937746740077863e7,4.2907500120389946e7
43,2,1,1,0.245,2.069,9.419,0.0,2025.3106725605235,2025.3106725605232,2025.3106725605235
44,2134,46,1,28.744,10.138,9.965,1.0,1.3148745100220688e7,1.3148745100220691e7,1.314874510022069e7
45,2,1,1,0.248,2.148,9.781,0.0,4681.0659506328675,4681.065950632868,4681.065950632868
46,13836,54,1,297.574,23.638,12.26,1.0,1.7151552839715354e7,1.7151552839715358e7,1.7151552839715358e7
47,37920,141,1,3600.015,625.902,12.481,1.158058271763518e-6,1.8827102273997992e7,1.8334929493193995e7,1.919622210499171e7
48,388,19,1,4.582,4.36,9.159,1.0,7.269176522967723e6,7.269176522967726e6,7.269176522967725e6
49,37194,66,1,1058.149,28.718,11.234,0.41176470588235503,1.9677675429939695e7,1.9677675429939695e7,2.111085068664574e7
4,11670,43,1,192.2,13.803,9.075,1.0,1.8285176435783293e7,1.8285176435783293e7,1.8942754857355088e7
50,30737,149,1,3600.075,3600.024,9.939,1.6315789473684212,5.522137921640895e7,4.688494734992566e7,5.52196369355555e7
5,3918,36,1,71.954,10.307,11.279,0.9999996894038077,1.4294934247666188e7,1.429493424766692e7,1.4294934247666921e7
6,24,21,1,0.538,4.544,8.998,1.0000000002000036,6.352019168100725e6,6.352019168100726e6,6.352019168100728e6
7,33938,90,1,3600.001,142.28,12.295,2.0,2.459449935415584e7,2.3738105463339247e7,2.569560611552195e7
8,32890,183,1,3600.113,3600.061,8.985,0.1578947368421062,3.1360315496454302e7,2.956856617136975e7,3.1488303777167812e7
9,2762,43,1,39.706,11.83,9.634,1.0,1.6126297071244337e7,1.6126297071244337e7,1.6394997648095228e7
