instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,zeta_box,θ_bb,θ_box,θ_pb
46,70904,63,1,1490.061,15.587,8.93,0.11111111111111427,1.7527190550945956e7,1.752678195983927e7,2.0082361344249737e7
47,166,24,1,1.253,4.304,9.325,0.125,4.902444682743608e6,4.902444682743609e6,5.0045095455366075e6
48,89132,108,1,3600.001,57.323,9.461,3.999924001618638e-6,2.900913617097736e7,2.697100766049168e7,3.293747078406993e7
49,48502,61,1,896.393,16.133,10.011,0.5714285714285737,1.8167605280499715e7,1.8167605280499715e7,2.1872721338061206e7
4,908,23,1,5.528,3.705,8.903,1.0,7.968085211656282e6,7.968085211656282e6,8.202373489974409e6
50,75824,60,1,3600.036,21.798,9.777,4.875,2.1021850241143603e7,1.8689854084137414e7,2.2853466725793995e7
5,8,16,1,0.318,3.192,10.886,1.0,2.0399654948373833e6,2.0399654948373837e6,2.0399654948373837e6
6,20326,88,1,260.022,34.181,11.594,0.1999999999999989,1.808194534179455e7,1.808194534179455e7,2.0518084217506304e7
7,634,30,1,4.98,5.322,12.977,0.11111111111111427,9.114214028456224e6,9.114214028456224e6,9.464700832772734e6
8,16,10,1,0.405,2.929,11.679,1.0,2.8387272944952496e6,2.8387272944952496e6,2.83872729449525e6
9,646,18,1,7.604,4.582,9.477,0.5,7.6440835500407005e6,7.6440835500407005e6,8.304462229284661e6
